,user_graph,event_type,app,title,duration,task,datetimestamp,real_duration
0,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,6351.009,none,2023-01-23 15:06:21.193000+00:00,9.947
1,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#startEvent,none,none,0,none,2023-01-23 15:06:31.140000+00:00,6228.405
2,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Eclipse,SEPAProject - tools/src/main/java/it/vaimee/sepa/consumers/my2sec/ActivityConsumer.java - Eclipse IDE,5.552,none,2023-01-23 16:50:19.545000+00:00,5.551
3,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Eclipse,SEPAProject - tools/src/main/java/it/vaimee/tools/my2sec/TaskAI.java - Eclipse IDE,810.862,none,2023-01-23 16:50:25.096000+00:00,107.103
4,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,621.139094,none,2023-01-23 16:52:12.199000+00:00,0.0
5,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,699.697,none,2023-01-23 16:52:12.199000+00:00,0.0
6,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,636.168294,none,2023-01-23 16:52:12.199000+00:00,0.0
7,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,631.157382,none,2023-01-23 16:52:12.199000+00:00,699.698
8,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#afkEvent,none,none,660.727,none,2023-01-23 17:03:51.897000+00:00,188.893
9,http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Eclipse,SEPAProject - tools/src/main/java/it/vaimee/tools/my2sec/TaskAI.java - Eclipse IDE,21.861,none,2023-01-23 17:07:00.790000+00:00,21.859
