user_graph,event_type,app,title,duration,task,real_duration,activity_type,datetimestamp
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#startEvent,none,none,0,none,3.625,NaN,2023-01-27 08:52:26.848000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,chrome.exe,Explore Docker's Container Image Repository | Docker Hub - Google Chrome,5.568,none,6.684,Other,2023-01-27 08:52:39.441000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,powershell.exe,Seleziona Windows PowerShell,1.125,none,2.241,Other,2023-01-27 08:52:46.125000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Code.exe,AwManager.js - 1.1_AwProducer - Visual Studio Code,2.218,none,3.355,Other,2023-01-27 08:54:12.869000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Code.exe,index.html - 1.1_AwProducer - Visual Studio Code,9.993,none,11.115,Other,2023-01-27 08:54:16.224000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Code.exe,тЧП main.js - 1.1_AwProducer - Visual Studio Code,0,none,1.098,Other,2023-01-27 08:54:38.512000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,electron.exe,AW PRODUCER,8.926,none,12.288,Other,2023-01-27 08:55:34.136000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,powershell.exe,Seleziona Windows PowerShell,20.026,none,21.139,Other,2023-01-27 08:59:00.845000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,ShellExperienceHost.exe,Nuova notifica,0,none,1.137,Other,2023-01-27 09:00:25.509000+00:00
http://www.vaimee.it/my2sec/defuser@vaimee.it,http://www.vaimee.it/ontology/my2sec#windowEvent,Discord.exe,@luca.roffia - Discord,0,none,1.123,Other,2023-01-27 09:00:37.817000+00:00
